trial,FE,beta,m,n,chain_size,name
4,153.062490405622,0.217147240951626,0,100,6000,AFE
4,152.058850017179,0.217147240951626,0,100,6000,WBIC
5,153.062460911948,0.217147240951626,0,100,6000,AFE
5,152.322401975354,0.217147240951626,0,100,6000,WBIC
6,153.062488621883,0.217147240951626,0,100,6000,AFE
6,152.180529798004,0.217147240951626,0,100,6000,WBIC
7,153.062446011083,0.217147240951626,0,100,6000,AFE
7,152.228538546452,0.217147240951626,0,100,6000,WBIC
8,153.062481356159,0.217147240951626,0,100,6000,AFE
8,152.205724561266,0.217147240951626,0,100,6000,WBIC
9,153.062520328779,0.217147240951626,0,100,6000,AFE
9,152.164418310174,0.217147240951626,0,100,6000,WBIC
10,153.062435313793,0.217147240951626,0,100,6000,AFE
10,152.264267001914,0.217147240951626,0,100,6000,WBIC
11,153.062385334583,0.217147240951626,0,100,6000,AFE
11,152.234473856077,0.217147240951626,0,100,6000,WBIC
12,153.062474841488,0.217147240951626,0,100,6000,AFE
12,152.213937522034,0.217147240951626,0,100,6000,WBIC
13,153.062504177021,0.217147240951626,0,100,6000,AFE
13,152.167524167763,0.217147240951626,0,100,6000,WBIC
14,153.604102251159,0.217147240951626,0,100,6000,AFE
14,152.188957679803,0.217147240951626,0,100,6000,WBIC
15,153.062410755093,0.217147240951626,0,100,6000,AFE
15,152.18176778848,0.217147240951626,0,100,6000,WBIC
16,153.062518869055,0.217147240951626,0,100,6000,AFE
16,152.144275531268,0.217147240951626,0,100,6000,WBIC
17,153.06247795273,0.217147240951626,0,100,6000,AFE
17,152.197403146117,0.217147240951626,0,100,6000,WBIC
18,153.062359841354,0.217147240951626,0,100,6000,AFE
18,152.064208942117,0.217147240951626,0,100,6000,WBIC
19,153.062218647024,0.217147240951626,0,100,6000,AFE
19,152.223903531761,0.217147240951626,0,100,6000,WBIC
20,153.062325435521,0.217147240951626,0,100,6000,AFE
20,152.261811931979,0.217147240951626,0,100,6000,WBIC
1,153.06274127919,0.217147240951626,0,100,10000,AFE
1,152.228833285917,0.217147240951626,0,100,10000,WBIC
2,154.633074723005,0.217147240951626,0,100,10000,AFE
2,152.155379945944,0.217147240951626,0,100,10000,WBIC
3,153.062371189058,0.217147240951626,0,100,10000,AFE
3,152.288145209851,0.217147240951626,0,100,10000,WBIC
4,153.06284365472,0.217147240951626,0,100,10000,AFE
4,152.189774537888,0.217147240951626,0,100,10000,WBIC
5,161.446061756564,0.217147240951626,0,100,10000,AFE
5,152.144380665085,0.217147240951626,0,100,10000,WBIC
6,153.062836079418,0.217147240951626,0,100,10000,AFE
6,152.170235926061,0.217147240951626,0,100,10000,WBIC
7,153.062373112424,0.217147240951626,0,100,10000,AFE
7,152.128068751301,0.217147240951626,0,100,10000,WBIC
8,153.062486378269,0.217147240951626,0,100,10000,AFE
8,152.116215057227,0.217147240951626,0,100,10000,WBIC
9,184.094207858258,0.217147240951626,0,100,10000,AFE
9,152.232060403173,0.217147240951626,0,100,10000,WBIC
10,180.43078119467,0.217147240951626,0,100,10000,AFE
10,152.211507386458,0.217147240951626,0,100,10000,WBIC
11,186.801782781704,0.217147240951626,0,100,10000,AFE
11,152.131051909318,0.217147240951626,0,100,10000,WBIC
12,153.062448760831,0.217147240951626,0,100,10000,AFE
12,152.336366732308,0.217147240951626,0,100,10000,WBIC
13,153.062471377965,0.217147240951626,0,100,10000,AFE
13,152.231958247047,0.217147240951626,0,100,10000,WBIC
14,153.062530178104,0.217147240951626,0,100,10000,AFE
14,152.117464758888,0.217147240951626,0,100,10000,WBIC
15,162.462312847214,0.217147240951626,0,100,10000,AFE
15,152.229627966521,0.217147240951626,0,100,10000,WBIC
16,154.659278226419,0.217147240951626,0,100,10000,AFE
16,152.202587888107,0.217147240951626,0,100,10000,WBIC
17,153.062421274682,0.217147240951626,0,100,10000,AFE
17,152.174440078408,0.217147240951626,0,100,10000,WBIC
18,153.062454098675,0.217147240951626,0,100,10000,AFE
18,152.194519242125,0.217147240951626,0,100,10000,WBIC
19,153.062463175857,0.217147240951626,0,100,10000,AFE
